section,rectangle,ROI,label,xcentroid,ycentroid,MajorAxis,MinorAxis,angle,circ.,AR,round,solidity
1,5,25,20210909_Xyln_01_5.tif,1.36,2.273,0.729,0.562,153.617,0.886,1.297,0.771,0.928
1,5,26,20210909_Xyln_01_5.tif,5.533,2.329,0.834,0.486,134.699,0.801,1.718,0.582,0.897
1,5,27,20210909_Xyln_01_5.tif,4.752,2.334,0.776,0.559,150.845,0.892,1.387,0.721,0.915
1,5,28,20210909_Xyln_01_5.tif,3.813,2.521,0.746,0.679,132.964,0.885,1.098,0.91,0.927
1,5,29,20210909_Xyln_01_5.tif,6.584,2.492,0.977,0.364,139.613,0.624,2.681,0.373,0.846
1,5,30,20210909_Xyln_01_5.tif,2.288,2.564,0.783,0.581,154.309,0.869,1.349,0.742,0.915
1,5,31,20210909_Xyln_01_5.tif,3.132,2.882,0.803,0.599,140.092,0.886,1.341,0.746,0.925
1,5,32,20210909_Xyln_01_5.tif,6.343,2.916,0.888,0.454,144.16,0.758,1.955,0.511,0.885
1,5,33,20210909_Xyln_01_5.tif,1.793,2.959,0.933,0.47,146.721,0.791,1.988,0.503,0.91
1,5,34,20210909_Xyln_01_5.tif,4.937,3.03,0.797,0.462,138.88,0.834,1.726,0.579,0.913
1,5,35,20210909_Xyln_01_5.tif,5.705,3.119,0.773,0.511,148.041,0.812,1.514,0.66,0.912
2,1,1,20210909_Xyln_02_1.tif,3.825,0.608,0.85,0.617,160.387,0.896,1.376,0.727,0.937
2,1,2,20210909_Xyln_02_1.tif,1.652,0.655,0.988,0.468,168.388,0.726,2.111,0.474,0.884
2,1,3,20210909_Xyln_02_1.tif,0.686,0.682,0.739,0.54,20.1,0.916,1.369,0.731,0.944
2,1,4,20210909_Xyln_02_1.tif,5.81,0.747,0.847,0.48,165.748,0.788,1.763,0.567,0.925
2,1,5,20210909_Xyln_02_1.tif,2.934,0.806,1.015,0.515,170.472,0.724,1.971,0.507,0.896
2,1,6,20210909_Xyln_02_1.tif,4.904,0.935,1.059,0.565,166.296,0.809,1.873,0.534,0.937
2,1,7,20210909_Xyln_02_1.tif,1.129,1.224,0.694,0.649,150.221,0.907,1.07,0.934,0.96
2,1,8,20210909_Xyln_02_1.tif,1.972,1.251,0.683,0.638,1.035,0.936,1.07,0.935,0.961
2,1,9,20210909_Xyln_02_1.tif,4.312,1.322,0.981,0.558,146.786,0.839,1.76,0.568,0.922
2,1,10,20210909_Xyln_02_1.tif,2.818,1.389,0.877,0.593,169.881,0.889,1.478,0.677,0.94
2,1,11,20210909_Xyln_02_1.tif,5.717,1.388,0.896,0.562,174.675,0.895,1.594,0.628,0.944
2,1,12,20210909_Xyln_02_1.tif,3.705,1.534,0.834,0.475,146.904,0.801,1.753,0.57,0.921
2,1,13,20210909_Xyln_02_1.tif,5.261,1.881,1.046,0.565,177.107,0.474,1.852,0.54,0.811
2,1,14,20210909_Xyln_02_1.tif,1.368,1.887,0.72,0.499,175.602,0.925,1.443,0.693,0.948
2,1,15,20210909_Xyln_02_1.tif,2.165,1.938,0.705,0.58,17.238,0.887,1.215,0.823,0.945
2,1,16,20210909_Xyln_02_1.tif,3.03,2.046,0.902,0.501,174.654,0.841,1.798,0.556,0.958
2,1,17,20210909_Xyln_02_1.tif,3.924,2.184,0.767,0.498,162.716,0.866,1.542,0.648,0.934
2,1,18,20210909_Xyln_02_1.tif,0.911,2.273,0.664,0.451,148.347,0.838,1.471,0.68,0.895
2,1,19,20210909_Xyln_02_1.tif,5.773,2.476,0.903,0.558,9.96,0.844,1.617,0.618,0.938
2,1,20,20210909_Xyln_02_1.tif,2.135,2.499,0.791,0.457,170.853,0.831,1.73,0.578,0.949
2,1,21,20210909_Xyln_02_1.tif,5.116,2.409,0.354,0.262,176.244,0.943,1.352,0.74,0.968
2,1,22,20210909_Xyln_02_1.tif,2.962,2.658,0.684,0.585,163.863,0.929,1.169,0.856,0.953
2,1,23,20210909_Xyln_02_1.tif,4.592,2.706,0.763,0.59,178.351,0.959,1.292,0.774,0.96
2,1,24,20210909_Xyln_02_1.tif,3.862,2.806,0.845,0.54,122.754,0.716,1.563,0.64,0.891
2,1,25,20210909_Xyln_02_1.tif,1.456,2.805,0.793,0.625,0.06,0.933,1.269,0.788,0.949
2,1,26,20210909_Xyln_02_1.tif,5.173,2.877,0.33,0.287,41.979,0.964,1.15,0.87,0.968
2,1,27,20210909_Xyln_02_1.tif,2.265,3.122,0.881,0.609,10.015,0.917,1.447,0.691,0.958
2,1,28,20210909_Xyln_02_1.tif,0.7,3.169,0.737,0.603,21.578,0.945,1.222,0.818,0.951
