spp,wl,Transm
A.pras,597.321,0.68059
A.pras,597.596,0.67923
A.pras,597.871,0.67843
A.pras,598.147,0.67733
A.pras,598.422,0.6765
A.pras,598.698,0.67585
A.pras,598.973,0.67431
A.pras,599.248,0.67378
A.pras,599.524,0.67275
A.pras,599.799,0.67161
A.pras,600.074,0.67154
A.pras,600.35,0.66957
A.pras,600.625,0.66916
A.pras,600.9,0.66821
A.pras,601.176,0.66708
A.pras,601.451,0.66597
A.pras,601.726,0.66528
A.pras,602.002,0.66457
A.pras,602.277,0.66379
A.pras,602.552,0.66213
A.pras,602.828,0.6617
A.pras,603.103,0.66018
A.pras,603.378,0.65959
A.pras,603.653,0.65857
A.pras,603.929,0.6577
A.pras,604.204,0.65702
A.pras,604.479,0.65595
A.pras,604.755,0.65502
A.pras,605.03,0.6541
A.pras,605.305,0.65301
A.pras,605.581,0.65227
A.pras,605.856,0.65143
A.pras,606.131,0.65058
A.pras,606.406,0.64947
A.pras,606.682,0.64835
A.pras,606.957,0.64778
A.pras,607.232,0.64671
A.pras,607.507,0.64593
A.pras,607.783,0.64516
A.pras,608.058,0.6446
A.pras,608.333,0.64371
A.pras,608.608,0.64316
A.pras,608.884,0.64189
A.pras,609.159,0.64107
A.pras,609.434,0.64027
A.pras,609.709,0.63937
A.pras,609.985,0.63878
A.pras,610.26,0.63795
A.pras,610.535,0.63715
A.pras,610.81,0.6361
A.pras,611.086,0.63594
A.pras,611.361,0.63467
A.pras,611.636,0.63416
A.pras,611.911,0.63301
A.pras,612.186,0.63246
A.pras,612.462,0.63197
A.pras,612.737,0.63134
A.pras,613.012,0.62975
A.pras,613.287,0.62879
A.pras,613.562,0.62881
A.pras,613.838,0.62829
A.pras,614.113,0.62706
A.pras,614.388,0.62583
A.pras,614.663,0.62513
A.pras,614.938,0.62493
A.pras,615.214,0.62394
A.pras,615.489,0.62264
A.pras,615.764,0.62225
A.pras,616.039,0.62148
A.pras,616.314,0.62041
A.pras,616.589,0.6202
A.pras,616.865,0.61899
A.pras,617.14,0.61842
A.pras,617.415,0.61731
A.pras,617.69,0.61689
A.pras,617.965,0.61586
A.pras,618.24,0.61507
A.pras,618.516,0.61443
A.pras,618.791,0.61388
A.pras,619.066,0.61336
A.pras,619.341,0.61315
A.pras,619.616,0.6124
A.pras,619.891,0.61166
A.pras,620.166,0.61029
A.pras,620.441,0.60994
A.pras,620.717,0.60871
A.pras,620.992,0.6079
A.pras,621.267,0.60686
A.pras,621.542,0.60686
A.pras,621.817,0.60608
A.pras,622.092,0.6049
A.pras,622.367,0.60429
A.pras,622.642,0.60327
A.pras,622.917,0.60249
A.pras,623.193,0.60214
A.pras,623.468,0.60114
A.pras,623.743,0.60025
A.pras,624.018,0.59851
A.pras,624.293,0.59768
A.pras,624.568,0.59783
A.pras,624.843,0.59672
A.pras,625.118,0.59591
A.pras,625.393,0.59487
A.pras,625.668,0.59428
A.pras,625.943,0.59281
A.pras,626.218,0.59188
A.pras,626.493,0.59171
A.pras,626.768,0.59035
A.pras,627.044,0.58926
A.pras,627.319,0.58823
A.pras,627.594,0.58745
A.pras,627.869,0.58637
A.pras,628.144,0.58505
A.pras,628.419,0.58396
A.pras,628.694,0.5829
A.pras,628.969,0.58218
A.pras,629.244,0.58131
A.pras,629.519,0.5805
A.pras,629.794,0.57918
A.pras,630.069,0.57804
A.pras,630.344,0.57753
A.pras,630.619,0.57566
A.pras,630.894,0.57538
A.pras,631.169,0.57358
A.pras,631.444,0.57226
A.pras,631.719,0.57151
A.pras,631.994,0.57049
A.pras,632.269,0.57014
A.pras,632.544,0.56824
A.pras,632.819,0.56757
A.pras,633.094,0.56636
A.pras,633.369,0.56436
A.pras,633.644,0.5636
A.pras,633.919,0.56271
A.pras,634.194,0.56189
A.pras,634.469,0.56089
A.pras,634.744,0.55961
A.pras,635.019,0.55793
A.pras,635.294,0.55727
A.pras,635.569,0.55644
A.pras,635.844,0.55571
A.pras,636.119,0.5543
A.pras,636.394,0.55324
A.pras,636.669,0.55219
A.pras,636.943,0.55111
A.pras,637.218,0.55099
A.pras,637.493,0.54947
A.pras,637.768,0.54896
A.pras,638.043,0.54784
A.pras,638.318,0.54718
A.pras,638.593,0.54597
A.pras,638.868,0.54479
A.pras,639.143,0.54443
A.pras,639.418,0.54353
A.pras,639.693,0.54239
A.pras,639.968,0.5415
A.pras,640.243,0.54067
A.pras,640.518,0.53968
A.pras,640.792,0.53895
A.pras,641.067,0.53805
A.pras,641.342,0.53743
A.pras,641.617,0.53662
A.pras,641.892,0.5357
A.pras,642.167,0.53512
A.pras,642.442,0.53348
A.pras,642.717,0.53334
A.pras,642.992,0.53317
A.pras,643.266,0.53223
A.pras,643.541,0.532
A.pras,643.816,0.53138
A.pras,644.091,0.53053
A.pras,644.366,0.53012
A.pras,644.641,0.5289
A.pras,644.916,0.52866
A.pras,645.19,0.52798
A.pras,645.465,0.52769
A.pras,645.74,0.52687
A.pras,646.015,0.52589
A.pras,646.29,0.5264
A.pras,646.565,0.52599
A.pras,646.84,0.52517
A.pras,647.114,0.52509
A.pras,647.389,0.524
A.pras,647.664,0.52419
A.pras,647.939,0.52357
A.pras,648.214,0.52337
A.pras,648.489,0.52265
A.pras,648.763,0.52227
A.pras,649.038,0.52173
A.pras,649.313,0.52176
A.pras,649.588,0.52151
A.pras,649.863,0.52046
A.pras,650.137,0.52066
A.pras,650.412,0.51989
A.pras,650.687,0.51981
A.pras,650.962,0.51937
A.pras,651.237,0.51916
A.pras,651.511,0.51863
A.pras,651.786,0.51785
A.pras,652.061,0.51786
A.pras,652.336,0.51751
A.pras,652.611,0.51791
A.pras,652.885,0.51692
A.pras,653.16,0.51675
A.pras,653.435,0.5168
A.pras,653.71,0.51621
A.pras,653.984,0.51552
A.pras,654.259,0.51566
A.pras,654.534,0.51595
A.pras,654.809,0.51527
A.pras,655.083,0.5149
A.pras,655.358,0.51607
A.pras,655.633,0.5154
A.pras,655.908,0.51528
A.pras,656.182,0.51506
A.pras,656.457,0.51493
A.pras,656.732,0.51448
A.pras,657.007,0.51453
A.pras,657.281,0.51403
A.pras,657.556,0.51442
A.pras,657.831,0.51477
A.pras,658.105,0.51425
A.pras,658.38,0.514
A.pras,658.655,0.51405
A.pras,658.93,0.51488
A.pras,659.204,0.51403
A.pras,659.479,0.51401
A.pras,659.754,0.51456
A.pras,660.028,0.51408
A.pras,660.303,0.51397
A.pras,660.578,0.51384
A.pras,660.852,0.51476
A.pras,661.127,0.51555
A.pras,661.402,0.51497
A.pras,661.676,0.51482
A.pras,661.951,0.51501
A.pras,662.226,0.5153
A.pras,662.501,0.51586
A.pras,662.775,0.51528
A.pras,663.05,0.51626
A.pras,663.325,0.51723
A.pras,663.599,0.5173
A.pras,663.874,0.51725
A.pras,664.148,0.51811
A.pras,664.423,0.51876
A.pras,664.698,0.51874
A.pras,664.972,0.52032
A.pras,665.247,0.52026
A.pras,665.522,0.52184
A.pras,665.796,0.52273
A.pras,666.071,0.52313
A.pras,666.346,0.52415
A.pras,666.62,0.52518
A.pras,666.895,0.52563
A.pras,667.169,0.52655
A.pras,667.444,0.52707
A.pras,667.719,0.52775
A.pras,667.993,0.52838
A.pras,668.268,0.53019
A.pras,668.543,0.53104
A.pras,668.817,0.5321
A.pras,669.092,0.53333
A.pras,669.366,0.5349
A.pras,669.641,0.53562
A.pras,669.915,0.5379
A.pras,670.19,0.53888
A.pras,670.465,0.54053
A.pras,670.739,0.54257
A.pras,671.014,0.54434
A.pras,671.288,0.54599
A.pras,671.563,0.5482
A.pras,671.838,0.54979
A.pras,672.112,0.55091
A.pras,672.387,0.5529
A.pras,672.661,0.55522
A.pras,672.936,0.55772
A.pras,673.21,0.55935
A.pras,673.485,0.56153
A.pras,673.759,0.56356
A.pras,674.034,0.56602
A.pras,674.309,0.56848
A.pras,674.583,0.57096
A.pras,674.858,0.57399
A.pras,675.132,0.5766
A.pras,675.407,0.57902
A.pras,675.681,0.58118
A.pras,675.956,0.5839
A.pras,676.23,0.58756
A.pras,676.505,0.5897
A.pras,676.779,0.59263
A.pras,677.054,0.5956
A.pras,677.328,0.59834
A.pras,677.603,0.60106
A.pras,677.877,0.60492
A.pras,678.152,0.60774
A.pras,678.426,0.61061
A.pras,678.701,0.61448
A.pras,678.975,0.61765
A.pras,679.25,0.62078
A.pras,679.524,0.62433
A.pras,679.799,0.62677
A.pras,680.073,0.63149
A.pras,680.348,0.6352
A.pras,680.622,0.63827
A.pras,680.897,0.64202
A.pras,681.171,0.64588
A.pras,681.446,0.64917
A.pras,681.72,0.65349
A.pras,681.995,0.65599
A.pras,682.269,0.66022
A.pras,682.543,0.66372
A.pras,682.818,0.66756
A.pras,683.092,0.67128
A.pras,683.367,0.67614
A.pras,683.641,0.67894
A.pras,683.916,0.68223
A.pras,684.19,0.68783
A.pras,684.465,0.6908
A.pras,684.739,0.69453
A.pras,685.013,0.69923
A.pras,685.288,0.70347
A.pras,685.562,0.70678
A.pras,685.837,0.71042
A.pras,686.111,0.71474
A.pras,686.386,0.71858
A.pras,686.66,0.72238
A.pras,686.934,0.72589
A.pras,687.209,0.73073
A.pras,687.483,0.73359
A.pras,687.758,0.7378
A.pras,688.032,0.74139
A.pras,688.306,0.74576
A.pras,688.581,0.74888
A.pras,688.855,0.75326
A.pras,689.129,0.75686
A.pras,689.404,0.76028
A.pras,689.678,0.76475
A.pras,689.953,0.76875
A.pras,690.227,0.77249
A.pras,690.501,0.77485
A.pras,690.776,0.77917
A.pras,691.05,0.78279
A.pras,691.324,0.78656
A.pras,691.599,0.78954
A.pras,691.873,0.79307
A.pras,692.147,0.79677
A.pras,692.422,0.80019
A.pras,692.696,0.80304
A.pras,692.971,0.80701
A.pras,693.245,0.81063
A.pras,693.519,0.81323
A.pras,693.794,0.81705
A.pras,694.068,0.81993
A.pras,694.342,0.82344
A.pras,694.617,0.82592
A.pras,694.891,0.82964
A.pras,695.165,0.83217
A.pras,695.439,0.83503
A.pras,695.714,0.83775
A.pras,695.988,0.84111
A.pras,696.262,0.84302
A.pras,696.537,0.84678
A.pras,696.811,0.84958
A.pras,697.085,0.85202
A.pras,697.36,0.85457
A.pras,697.634,0.85655
A.pras,697.908,0.85994
A.pras,698.182,0.86203
A.pras,698.457,0.86531
A.pras,698.731,0.86732
A.pras,699.005,0.869
A.pras,699.28,0.87213
A.pras,699.554,0.8741
A.pras,699.828,0.87601
A.pras,700.102,0.87839
A.pras,700.377,0.88167
A.pras,700.651,0.88296
A.pras,700.925,0.88498
A.pras,701.199,0.88672
A.pras,701.474,0.88794
A.pras,701.748,0.8912
A.pras,702.022,0.89337
A.pras,702.296,0.89517
A.pras,702.571,0.89668
A.pras,702.845,0.89913
A.pras,703.119,0.90073
A.pras,703.393,0.90168
A.pras,703.668,0.90382
A.pras,703.942,0.90595
A.pras,704.216,0.90787
A.pras,704.49,0.90848
A.pras,704.764,0.91132
A.pras,705.039,0.91292
A.pras,705.313,0.91446
A.pras,705.587,0.91634
A.pras,705.861,0.91763
A.pras,706.135,0.91836
A.pras,706.41,0.92058
A.pras,706.684,0.92124
A.pras,706.958,0.92272
A.pras,707.232,0.92428
A.pras,707.506,0.92592
A.pras,707.781,0.92759
A.pras,708.055,0.92757
A.pras,708.329,0.92965
A.pras,708.603,0.93012
A.pras,708.877,0.93144
A.pras,709.151,0.93218
A.pras,709.426,0.93296
A.pras,709.7,0.93527
A.pras,709.974,0.93687
A.pras,710.248,0.93683
A.pras,710.522,0.93779
A.pras,710.796,0.9387
A.pras,711.071,0.94009
A.pras,711.345,0.94078
A.pras,711.619,0.94225
A.pras,711.893,0.94277
A.pras,712.167,0.94322
A.pras,712.441,0.94488
A.pras,712.715,0.94543
A.pras,712.989,0.94527
A.pras,713.264,0.9463
A.pras,713.538,0.94794
A.pras,713.812,0.94902
A.pras,714.086,0.94863
A.pras,714.36,0.9499
A.pras,714.634,0.95084
A.pras,714.908,0.95173
A.pras,715.182,0.95168
A.pras,715.456,0.95293
A.pras,715.731,0.95384
A.pras,716.005,0.95373
A.pras,716.279,0.95401
A.pras,716.553,0.95478
A.pras,716.827,0.95532
A.pras,717.101,0.95561
A.pras,717.375,0.95661
A.pras,717.649,0.95777
A.pras,717.923,0.95834
A.pras,718.197,0.95836
A.pras,718.471,0.95909
A.pras,718.745,0.95908
A.pras,719.019,0.96009
A.pras,719.294,0.95969
A.pras,719.568,0.95993
A.pras,719.842,0.96108
A.pras,720.116,0.96072
A.pras,720.39,0.96245
A.pras,720.664,0.96244
A.pras,720.938,0.96306
A.pras,721.212,0.96338
A.pras,721.486,0.96372
A.pras,721.76,0.96259
A.pras,722.034,0.96329
A.pras,722.308,0.96442
